"store_id","address","town","state","last_seen","latitude","longitude","created","latest_price","latest_price_checked"
"100","715 East Memorial Blvd","Lakeland","FL","Thu Jul 25 2024 17:15:23 GMT+0000 (Coordinated Universal Time)","28.0547","-81.9507","Mon Jul 15 2024 03:38:00 GMT+0000 (Coordinated Universal Time)","4.89","Fri Jul 26 2024 01:21:11 GMT+0000 (Coordinated Universal Time)"
"1000","1101 Oakton Street","Des Plaines","IL","Thu Jul 25 2024 17:35:41 GMT+0000 (Coordinated Universal Time)","42.0235","-87.897","Mon Jul 15 2024 03:25:00 GMT+0000 (Coordinated Universal Time)","5.79","Fri Jul 26 2024 01:21:11 GMT+0000 (Coordinated Universal Time)"
"10000","4245 Dale Blvd","Dale City","VA","Thu Aug 01 2024 16:37:57 GMT+0000 (Coordinated Universal Time)","38.6447","-77.3376","Thu Jul 25 2024 19:47:00 GMT+0000 (Coordinated Universal Time)","5.69","Fri Jul 26 2024 01:21:11 GMT+0000 (Coordinated Universal Time)"
"10008","1708 Cotton Grove Rd","Lexington","NC","Thu Aug 01 2024 16:38:00 GMT+0000 (Coordinated Universal Time)","35.7771","-80.2591","Mon Jul 15 2024 03:42:57 GMT+0000 (Coordinated Universal Time)","5.29","Fri Jul 26 2024 01:21:11 GMT+0000 (Coordinated Universal Time)"
"10009","8333 S Lancaster Rd","Dallas","TX","Thu Aug 01 2024 16:38:00 GMT+0000 (Coordinated Universal Time)","32.6461","-96.7812","Mon Jul 15 2024 03:02:18 GMT+0000 (Coordinated Universal Time)","4.99","Fri Jul 26 2024 01:21:11 GMT+0000 (Coordinated Universal Time)"
"1001","1835 E El Dorado","Decatur","IL","Thu Jul 25 2024 17:35:42 GMT+0000 (Coordinated Universal Time)","39.8459","-88.9316","Mon Jul 15 2024 03:22:48 GMT+0000 (Coordinated Universal Time)","4.89","Fri Jul 26 2024 01:21:12 GMT+0000 (Coordinated Universal Time)"
"10010","20 E Frederick St","Walkersville","MD","Thu Aug 01 2024 16:38:00 GMT+0000 (Coordinated Universal Time)","39.4834","-77.3463","Mon Jul 15 2024 03:47:13 GMT+0000 (Coordinated Universal Time)","5.59","Fri Jul 26 2024 01:21:12 GMT+0000 (Coordinated Universal Time)"
"10012","209 W 3rd","Grove","OK","Thu Aug 01 2024 16:38:00 GMT+0000 (Coordinated Universal Time)","36.5938","-94.7728","Mon Jul 15 2024 03:07:47 GMT+0000 (Coordinated Universal Time)","5.59","Fri Jul 26 2024 01:21:12 GMT+0000 (Coordinated Universal Time)"
"10013","907 Us Hwy 17 S","Wauchula","FL","Thu Aug 01 2024 16:38:00 GMT+0000 (Coordinated Universal Time)","27.5368","-81.809","Mon Jul 15 2024 03:38:41 GMT+0000 (Coordinated Universal Time)","5.29","Fri Jul 26 2024 01:21:12 GMT+0000 (Coordinated Universal Time)"
"10014","6330 Us Highway 98 N","Lakeland","FL","Thu Aug 01 2024 16:38:01 GMT+0000 (Coordinated Universal Time)","28.1235","-81.9742","Mon Jul 15 2024 03:38:00 GMT+0000 (Coordinated Universal Time)","5.59","Fri Jul 26 2024 01:21:12 GMT+0000 (Coordinated Universal Time)"
